,REPORT_NUMBER,NAME,DATE_OF_INCIDENT,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,TOTAL_BBLS_RELEASED,FATALITY_IND,INJURY_IND,SHUTDOWN_DUE_ACCIDENT_IND,IGNITE_IND,EXPLODE_IND,ON_OFF_SHORE,INCIDENT_AREA_TYPE,DEPTH_OF_COVER,ITEM_INVOLVED,PIPE_DIAMETER,INSTALLATION_YEAR,RELEASE_TYPE,TOTAL_EST_COST,ACCIDENT_PRESSURE,SCADA_DETECTION_IND,CPM_DETECTION_IND,WATER_CONTAM_IND,CAUSE,CAUSE_DETAILS,YEAR_OF_INCIDENT,AGE_OF_FACILITY
10,20210315,HARVEST MIDSTREAM COMPANY,10/22/2021,28.84658,-98.08729,CRUDE OIL,0.35,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,TUBING,,2011,LEAK,1035,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,EQUIPMENT FAILURE,OTHER EQUIPMENT FAILURE,2021,10
11,20210329,EXPLORER PIPELINE CO,10/21/2021,29.816358,-95.179689,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.2,NO,NO,YES,NO,NO,ONSHORE,ABOVEGROUND,,VALVE,,,LEAK,10330,PRESSURE DID NOT EXCEED MOP,YES,NO,NO,EQUIPMENT FAILURE,OTHER EQUIPMENT FAILURE,2021,
12,20210327,"MAGELLAN PIPELINE COMPANY, LP",10/21/2021,45.104828,-95.081786,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,2.4,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,AUXILIARY PIPING (E.G. DRAIN LINES),,,LEAK,25230,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,EQUIPMENT FAILURE,DEFECTIVE OR LOOSE TUBING OR FITTING,2021,
13,20210325,SUNOCO PARTNERS MARKETING & TERMINALS LP,10/21/2021,30.00125833,-93.99259444,CRUDE OIL,10,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,FLANGE,,2021,LEAK,18700,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,INCORRECT OPERATION,EQUIPMENT NOT INSTALLED PROPERLY,2021,0
14,20210323,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",10/18/2021,48.212661,-96.435133,CRUDE OIL,4,NO,NO,YES,NO,NO,ONSHORE,UNDERGROUND,48,FLANGE,,1974,LEAK,370320,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,2021,47
15,20210320,ENTERPRISE CRUDE PIPELINE LLC,10/16/2021,31.4328,-102.4393,CRUDE OIL,0.23,NO,NO,YES,NO,NO,ONSHORE,ABOVEGROUND,,SUMP/SEPARATOR,,,OVERFILL OR OVERFLOW,8420,PRESSURE DID NOT EXCEED MOP,YES,,NO,EQUIPMENT FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,2021,
16,20210300,IMTT-BAYONNE,10/15/2021,40.655789,-74.111125,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.35,NO,NO,NO,NO,NO,ONSHORE,UNDERGROUND,40,PIPE,12,,LEAK,97585,PRESSURE DID NOT EXCEED MOP,,,NO,CORROSION FAILURE,EXTERNAL CORROSION,2021,
17,20210313,"WILLIAMS OLEFINS FEEDSTOCK PIPELINES, LLC",10/15/2021,29.721356,-95.107697,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,2.06,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,TUBING,,2021,OTHER,658,PRESSURE DID NOT EXCEED MOP,YES,NO,NO,EQUIPMENT FAILURE,DEFECTIVE OR LOOSE TUBING OR FITTING,2021,0
18,20210319,"SHELL PIPELINE CO., L.P.",10/14/2021,29.105278,-90.191944,CRUDE OIL,2,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,VALVE,,2018,LEAK,64408,PRESSURE DID NOT EXCEED MOP,,,NO,EQUIPMENT FAILURE,OTHER EQUIPMENT FAILURE,2021,3
19,20210318,THE DOW CHEMICAL COMPANY,10/14/2021,28.99998739,-95.34058161,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,11.3,NO,NO,YES,NO,NO,ONSHORE,UNDERGROUND,52,PIPE,8.62,2000,LEAK,200100,PRESSURE DID NOT EXCEED MOP,,,NO,MATERIAL FAILURE OF PIPE OR WELD,"CONSTRUCTION-, INSTALLATION-, OR FABRICATION-RELATED",2021,21
20,20210321,"PLAINS PIPELINE, L.P.",10/13/2021,28.3656408,-99.6473912,CRUDE OIL,593,NO,NO,YES,NO,NO,ONSHORE,UNDERGROUND,72,PIPE,10,2011,LEAK,119455,PRESSURE DID NOT EXCEED MOP,YES,YES,NO,OTHER INCIDENT CAUSE,UNKNOWN,2021,10
21,20210316,ENTERPRISE PRODUCTS OPERATING LLC,10/12/2021,35.9617,-90.839347,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,1.1,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,SCRAPER/PIG TRAP,,2021,LEAK,20250,PRESSURE DID NOT EXCEED MOP,,,NO,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,2021,0
22,20210317,"EXPRESS HOLDINGS (USA), LLC",10/11/2021,40.407031,-99.321858,CRUDE OIL,0.24,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,AUXILIARY PIPING (E.G. DRAIN LINES),,2020,OVERFILL OR OVERFLOW,6709,PRESSURE DID NOT EXCEED MOP,YES,,NO,INCORRECT OPERATION,OTHER INCORRECT OPERATION,2021,1
23,20210314,SUNOCO PIPELINE L.P.,10/6/2021,42.609662,-83.039991,CRUDE OIL,1.9,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,AUXILIARY PIPING (E.G. DRAIN LINES),,2006,LEAK,16152,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,CORROSION FAILURE,EXTERNAL CORROSION,2021,15
24,20210305,SINCLAIR TRANSPORTATION COMPANY,10/6/2021,40.13108,-104.92086,CRUDE OIL,0.36,NO,NO,YES,NO,NO,ONSHORE,ABOVEGROUND,,FLANGE,,2021,LEAK,4520,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,INCORRECT OPERATION,WRONG EQUIPMENT SPECIFIED OR INSTALLED,2021,0
25,20210311,KINDER MORGAN CO2 CO. LLC,10/5/2021,31.44569,-102.47866,CO2 (CARBON DIOXIDE),606.6,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,VALVE,,2011,LEAK,6282,PRESSURE DID NOT EXCEED MOP,YES,,NO,EQUIPMENT FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,2021,10
26,20210310,"KINDER MORGAN LIQUID TERMINALS, LLC",10/4/2021,39.78578,-84.16169,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,1.19,NO,NO,NO,NO,NO,ONSHORE,"TANK, INCLUDING ATTACHED APPURTENANCES",,OTHER,,2021,LEAK,77,PRESSURE DID NOT EXCEED MOP,,,NO,INCORRECT OPERATION,EQUIPMENT NOT INSTALLED PROPERLY,2021,0
27,20210309,PRODUCTS (SE) PIPE LINE CORPORATION,9/30/2021,33.290013,-86.824375,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,302,NO,NO,YES,NO,NO,ONSHORE,UNDERGROUND,132,PIPE,30,1969,LEAK,4649000,PRESSURE DID NOT EXCEED MOP,NO,,YES,OTHER INCIDENT CAUSE,UNKNOWN,2021,52
28,20210304,SUNOCO PIPELINE L.P.,9/29/2021,32.066917,-96.472069,CRUDE OIL,1.5,NO,NO,NO,NO,NO,ONSHORE,UNDERGROUND,168,PIPE,24,2015,LEAK,20160,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,CORROSION FAILURE,INTERNAL CORROSION,2021,6
29,20210308,"MAGELLAN PIPELINE COMPANY, LP",9/29/2021,36.418701,-97.811126,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,4,NO,NO,YES,NO,NO,ONSHORE,"TANK, INCLUDING ATTACHED APPURTENANCES",,TANK/VESSEL,,2001,LEAK,65250,PRESSURE DID NOT EXCEED MOP,NO,,NO,EQUIPMENT FAILURE,"FAILURE OF EQUIPMENT BODY (EXCEPT PUMP), TANK PLATE, OR OTHER MATERIAL",2021,20
30,20210296,"BUCKEYE PARTNERS, LP",9/28/2021,42.25394749,-83.27650229,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,1,NO,NO,YES,NO,NO,ONSHORE,UNDERGROUND,54,PIPE,6,,OTHER,155200,PRESSURE DID NOT EXCEED MOP,,,NO,CORROSION FAILURE,EXTERNAL CORROSION,2021,
31,20210306,CHEVRON PIPE LINE CO,9/28/2021,29.08900521,-90.19933885,CRUDE OIL,223,NO,NO,NO,NO,NO,OFFSHORE,,,PIPE,12,1976,LEAK,1852290,PRESSURE DID NOT EXCEED MOP,NO,NO,YES,NATURAL FORCE DAMAGE,HIGH WINDS,2021,45
32,20210307,"DAPL-ETCO OPERATIONS MANAGEMENT, LLC",9/28/2021,47.799233,-102.923277,CRUDE OIL,0.2,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,OTHER,,2021,LEAK,816,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,EQUIPMENT FAILURE,THREADED CONNECTION/COUPLING FAILURE,2021,0
33,20210301,ENTERPRISE CRUDE PIPELINE LLC,9/25/2021,29.7651,-95.1448,CRUDE OIL,33,NO,NO,NO,NO,NO,ONSHORE,UNDERGROUND,36,PIPE,36,2016,LEAK,229840,PRESSURE DID NOT EXCEED MOP,NO,,NO,OTHER INCIDENT CAUSE,UNKNOWN,2021,5
34,20210303,"KINDER MORGAN LIQUID TERMINALS, LLC",9/24/2021,29.72451,-95.2042,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.1,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,PUMP,,2003,LEAK,450003,PRESSURE DID NOT EXCEED MOP,NO,,NO,CORROSION FAILURE,EXTERNAL CORROSION,2021,18
35,20210302,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,9/23/2021,33.5079,-92.4277,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,4493,NO,NO,YES,NO,NO,ONSHORE,UNDERGROUND,60,PIPE,10,1969,MECHANICAL PUNCTURE,706000,PRESSURE DID NOT EXCEED MOP,YES,YES,YES,EXCAVATION DAMAGE,EXCAVATION DAMAGE BY THIRD PARTY,2021,52
36,20210299,"WHITE CLIFFS PIPELINE, LLC",9/23/2021,40.20623,-104.608678,CRUDE OIL,0.2,NO,NO,NO,NO,NO,ONSHORE,"TANK, INCLUDING ATTACHED APPURTENANCES",,TANK/VESSEL,,2013,LEAK,2016,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,2021,8
37,20210298,WEST TEXAS GULF PIPELINE CO,9/23/2021,30.150177,-94.404161,CRUDE OIL,2,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,RELIEF LINE,,2016,LEAK,25000,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,EQUIPMENT FAILURE,THREADED CONNECTION/COUPLING FAILURE,2021,5
38,20210295,MID - VALLEY PIPELINE CO,9/20/2021,40.707632,-84.122129,CRUDE OIL,0.3,NO,NO,NO,NO,NO,ONSHORE,UNDERGROUND,48,PIPE,10,1950,LEAK,47050,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,CORROSION FAILURE,INTERNAL CORROSION,2021,71
39,20210292,PHILLIPS 66 PIPELINE LLC,9/17/2021,29.99235,-93.985489,CRUDE OIL,0.13,NO,NO,NO,NO,NO,ONSHORE,"TANK, INCLUDING ATTACHED APPURTENANCES",,TANK/VESSEL,,,LEAK,33685,PRESSURE DID NOT EXCEED MOP,,,NO,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,2021,
40,20210294,MOTIVA ENTERPRISE LLC,9/16/2021,29.87606,-93.95785,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,1.7,NO,NO,YES,NO,NO,ONSHORE,ABOVEGROUND,,PIPE,8,,LEAK,27264,PRESSURE DID NOT EXCEED MOP,,,NO,CORROSION FAILURE,EXTERNAL CORROSION,2021,
41,20210293,ENTERPRISE CRUDE PIPELINE LLC,9/16/2021,29.7651,-95.145,CRUDE OIL,35,NO,NO,YES,NO,NO,ONSHORE,UNDERGROUND,36,PIPE,16,2016,LEAK,317938,PRESSURE DID NOT EXCEED MOP,NO,,NO,CORROSION FAILURE,INTERNAL CORROSION,2021,5
42,20210297,"PLAINS PIPELINE, L.P.",9/16/2021,31.4313,-102.3779,CRUDE OIL,2,NO,NO,NO,NO,NO,ONSHORE,UNDERGROUND,48,PIPE,8,,LEAK,12104,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,CORROSION FAILURE,INTERNAL CORROSION,2021,
43,20210274,"KINDER MORGAN LIQUID TERMINALS, LLC",9/12/2021,29.730167,-95.19975,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,1,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,PUMP,,2003,LEAK,6476,PRESSURE DID NOT EXCEED MOP,NO,,NO,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,2021,18
44,20210285,PHILLIPS 66 PIPELINE LLC,9/11/2021,30.160011,-93.340365,CRUDE OIL,0.21,NO,NO,NO,NO,NO,ONSHORE,"TANK, INCLUDING ATTACHED APPURTENANCES",,OTHER,,,LEAK,9176,PRESSURE DID NOT EXCEED MOP,,,NO,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,2021,
45,20210291,CHEVRON PIPE LINE CO,9/11/2021,28.93012,-90.178333,CRUDE OIL,452,NO,NO,YES,NO,NO,OFFSHORE,,,HOT TAP EQUIPMENT,,2006,LEAK,2032465,PRESSURE DID NOT EXCEED MOP,NO,NO,YES,NATURAL FORCE DAMAGE,OTHER NATURAL FORCE DAMAGE,2021,15
46,20210290,ENTERPRISE PRODUCTS OPERATING LLC,9/10/2021,27.754722,-97.535556,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,1292,NO,NO,YES,NO,NO,ONSHORE,UNDERGROUND,10,PIPE,6.625,1941,MECHANICAL PUNCTURE,2066500,PRESSURE DID NOT EXCEED MOP,YES,YES,NO,EXCAVATION DAMAGE,EXCAVATION DAMAGE BY THIRD PARTY,2021,80
47,20210289,ENTERPRISE PRODUCTS OPERATING LLC,9/9/2021,42.42214,-76.2023,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,10.2,NO,NO,YES,NO,NO,ONSHORE,ABOVEGROUND,,FLANGE,,,LEAK,850,PRESSURE DID NOT EXCEED MOP,NO,,NO,EQUIPMENT FAILURE,THREADED CONNECTION/COUPLING FAILURE,2021,
48,20210287,MARATHON PIPE LINE LLC,9/9/2021,38.405767,-82.588245,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,2.24,NO,NO,YES,NO,NO,ONSHORE,"TANK, INCLUDING ATTACHED APPURTENANCES",,FLANGE,,2021,LEAK,9064,PRESSURE DID NOT EXCEED MOP,,,NO,INCORRECT OPERATION,WRONG EQUIPMENT SPECIFIED OR INSTALLED,2021,0
49,20210286,ENTERPRISE CRUDE PIPELINE LLC,9/7/2021,35.94014,-96.74894,CRUDE OIL,0.1,NO,NO,YES,YES,NO,ONSHORE,ABOVEGROUND,,PUMP,,2019,OTHER,130020,PRESSURE DID NOT EXCEED MOP,YES,NO,NO,EQUIPMENT FAILURE,OTHER EQUIPMENT FAILURE,2021,2
50,20210284,COLONIAL PIPELINE CO,9/3/2021,33.28180097,-86.80294942,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.2,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,AUXILIARY PIPING (E.G. DRAIN LINES),,1970,OVERFILL OR OVERFLOW,19016,PRESSURE DID NOT EXCEED MOP,NO,,NO,OTHER INCIDENT CAUSE,MISCELLANEOUS,2021,51
51,20210257,ORYX DELAWARE OIL TRANSPORT LLC,9/2/2021,32.016996,-101.99433,CRUDE OIL,5,NO,NO,YES,NO,NO,ONSHORE,ABOVEGROUND,,FLANGE,,2019,LEAK,3850,"PRESSURE EXCEEDED MOP, BUT DID NOT EXCEED 110% OF MOP",YES,,NO,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,2021,2
52,20210272,SUNOCO PARTNERS MARKETING & TERMINALS LP,9/2/2021,29.99501667,-93.99333333,CRUDE OIL,66,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,OTHER,,1970,OTHER,39500,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,OTHER INCIDENT CAUSE,MISCELLANEOUS,2021,51
53,20210262,"WILLIAMS OLEFINS FEEDSTOCK PIPELINES, LLC",9/2/2021,30.28989,-93.03822,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,1.39,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,PUMP,,1991,LEAK,310,PRESSURE DID NOT EXCEED MOP,YES,NO,NO,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,2021,30
54,20210278,HARVEST MIDSTREAM COMPANY,8/31/2021,29.107187,-90.194462,CRUDE OIL,2,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,OTHER,,,OTHER,12840,PRESSURE DID NOT EXCEED MOP,NO,,NO,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,2021,
55,20210282,ENTERPRISE PRODUCTS OPERATING LLC,8/31/2021,30.0097,-91.1059,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,2.2,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,SCRAPER/PIG TRAP,,1966,LEAK,8000,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,EQUIPMENT FAILURE,THREADED CONNECTION/COUPLING FAILURE,2021,55
56,20210266,"SHELL PIPELINE CO., L.P.",8/30/2021,29.156565,-90.175395,CRUDE OIL,90,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,OTHER,,,OTHER,279500,PRESSURE DID NOT EXCEED MOP,NO,,NO,NATURAL FORCE DAMAGE,OTHER NATURAL FORCE DAMAGE,2021,
57,20210268,"SHELL PIPELINE CO., L.P.",8/30/2021,29.473423,-90.258522,CRUDE OIL,0.5,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,TUBING,,,OTHER,1050,PRESSURE DID NOT EXCEED MOP,NO,,NO,NATURAL FORCE DAMAGE,OTHER NATURAL FORCE DAMAGE,2021,
58,20210279,ENTERPRISE CRUDE PIPELINE LLC,8/30/2021,32.5368,-103.523,CRUDE OIL,1.5,NO,NO,YES,NO,NO,ONSHORE,"TANK, INCLUDING ATTACHED APPURTENANCES",,TANK/VESSEL,,2011,LEAK,12309,PRESSURE DID NOT EXCEED MOP,NO,,NO,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,2021,10
59,20210273,MARATHON PIPE LINE LLC,8/30/2021,30.0187,-90.8472,CRUDE OIL,296,NO,NO,NO,NO,NO,ONSHORE,"TANK, INCLUDING ATTACHED APPURTENANCES",,TANK/VESSEL,,1971,LEAK,350000,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,2021,50
60,20210277,"MAGELLAN CRUDE OIL PIPELINE COMPANY, L.P.",8/30/2021,29.7901,-95.283638,CRUDE OIL,0.48,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,PIPE,36,2016,LEAK,15068,PRESSURE DID NOT EXCEED MOP,NO,,NO,CORROSION FAILURE,INTERNAL CORROSION,2021,5
61,20210283,"PLAINS PIPELINE, L.P.",8/30/2021,31.89607421,-102.5656095,CRUDE OIL,1.92,NO,NO,YES,NO,NO,ONSHORE,ABOVEGROUND,,PIPE,18,,LEAK,12620,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,OTHER INCIDENT CAUSE,UNKNOWN,2021,
62,20210276,PHILLIPS 66 PIPELINE LLC,8/29/2021,30.057875,-90.609758,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,654,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,INSTRUMENTATION,,,OTHER,61859,PRESSURE DID NOT EXCEED MOP,YES,,NO,OTHER OUTSIDE FORCE DAMAGE,OTHER OUTSIDE FORCE DAMAGE,2021,
63,20210275,PHILLIPS 66 PIPELINE LLC,8/29/2021,29.633541,-90.168548,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,27282,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,TUBING,,,LEAK,1300000,PRESSURE DID NOT EXCEED MOP,YES,YES,NO,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,2021,
64,20210271,CENTURION PIPELINE L.P.,8/29/2021,32.005497,-102.04456,CRUDE OIL,10,NO,NO,YES,NO,NO,ONSHORE,UNDERGROUND,24,PIPE,8,2012,LEAK,18000,PRESSURE DID NOT EXCEED MOP,,,NO,CORROSION FAILURE,INTERNAL CORROSION,2021,9
65,20210281,LOOP LLC,8/29/2021,29.47350277,-90.2522138,CRUDE OIL,1.11,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,SUMP/SEPARATOR,,1980,OVERFILL OR OVERFLOW,200070,PRESSURE DID NOT EXCEED MOP,NO,NO,YES,NATURAL FORCE DAMAGE,HIGH WINDS,2021,41
